公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
中国能建新疆院,,"电气设计师,土建设计师,能动设计师,信息工程师,法务(电气工程、输电线路工程、电气工程及其自动化、土木工程、给排水科学与工程、能源与动力工程、新能源科学与工程、人工智能、法学)","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,乌鲁木齐,2026届,2026-05-17,央国企,,2026-05-17,国企,招满为止,春招,,http://mp.weixin.qq.com/s?__biz=MzA4OTUyMDkxMQ==&mid=2651118040&idx=2&sn=e09bdc80cd1697780b3e32d72bc7ce9d&chksm=8ae62ac35ce5ed55d23385c49e01bec2774872b7b6f6381c152edf35d3c960a7a5d2fa2cb6ab&scene=0#rd,,http://mp.weixin.qq.com/s?__biz=MzA4OTUyMDkxMQ==&mid=2651118040&idx=2&sn=e09bdc80cd1697780b3e32d72bc7ce9d&chksm=8ae62ac35ce5ed55d23385c49e01bec2774872b7b6f6381c152edf35d3c960a7a5d2fa2cb6ab&scene=0#rd
海天味业,,综合职能实习生 调味品研发实习生AI数字化实习生 供应链支持实习生,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,佛山 | 宿迁,2027届,2026-05-18,民企,,2026-05-18,快消零售/食品,招满为止,实习,,https://mp.weixin.qq.com/s/KdgIZaPViU0wPIgXnCrYzw,,https://haday.hotjob.cn/
中信证券-分支机构,,分支机构实习生岗位,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,全国,2027届,2026-06-12,央国企,,2026-06-12,金融/证券,招满为止,实习,,https://mp.weixin.qq.com/s/1RzmeH1bBrr0xPSknfVTDg,,https://careers.citics.com/branch/interns
中国天楹,,环保装备工程方向 化工方向 电力方向农业方向安环信息方向数智化设备方向财务/税务专员人事专员审计专员车辆管理方向,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,江苏 | 南通,2026届 | 2027届,2026-06-12,民企,,2026-06-12,节能环保/水处理,招满为止,秋招提前批,,https://mp.weixin.qq.com/s/so7zsBb_A0Zy_Qo0VluIIQ,,https://mp.weixin.qq.com/s/so7zsBb_A0Zy_Qo0VluIIQ
大连海事大学（第二批）,,新闻综合采编岗 网络基础设施保障岗 数据与应用系统岗（教育学、新闻传播学、新闻与传播、电气工程、电子科学与技术、信息与通信工程、控制科学与工程、计算机科学与技术、软件工程、电子信息、数学、网络空间安全......,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,大连,2026届 | 2025届 | 2024届,2026-04-06,事业单位,,2026-04-06,事业单位,2026/4/17,春招,,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202604/t20260403_572076.html,,http://recruit.dlmu.edu.cn/#/app/dlhsdx/recruit/zpwz
江腾电力集团,,电力施工类电力设计类信息科技类监理造价类综合能源类电力服务类;具体见投递方式链接;,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,广东,2025届 | 2026届,2026-05-26,央国企,,2026-05-26,能源/电力,2026/6/9,春招,,https://mp.weixin.qq.com/s/Z7Vg2ViEbKTj05N9ivGCsQ,,https://young.yingjiesheng.com/xyzlogin?ctmid=E26E5FAA-876D-4BB6-A4D6-A35D74F9017A&ehirejobid=&jumpurl=httpsxyz.51job.comconsumerpcresumeindexctmid9318479prdwww.kdocs.cnprpcdxyz.51job.comcpruidbackurlauiduuidpartner
四川银行,,总行业务管理类总行/分行数据科技类分行业务服务类,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,成都 | 凉山 | 攀枝花 | 绵阳 | 广元 | 南充 | 广安 | 达州 | 雅安 | 眉山,2027届,2026-06-13,银行,,2026-06-13,银行/国有行,招满为止,实习,,https://scbank.hotjob.cn/,,https://scbank.hotjob.cn/
国家工业信息安全发展研究中心,,网安攻防技术研究、网安漏洞技术研究、数据安全研究、网安产业与技术研究、数字化转型研究、工业互联网研究、数字化转型标准研制、中小企业研究、国防战略与政策研究、人工智能测试评估、软件产业及技术研究、电子信......,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2026届 | 2025届 | 2024届,2026-03-24,事业单位,,2026-03-24,事业单位,招满为止,春招,,https://www.gxbzhp.org.cn/article/content/2603201134565690150700007.html,,https://www.gxbzhp.org.cn/article/content/2603201134565690150700007.html
小麦新能,,"开发岗,运维岗,开发支持岗（电气类、新能源等）","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,石家庄 | 南京 | 合肥 | 郑州 | 武汉,2026届,2026-04-07,民企,,2026-04-07,新能源 | 科技,招满为止,春招,,https://mp.weixin.qq.com/s/Ex_cHggsLhTT6bLG5d6bCw,,https://mp.weixin.qq.com/s/Ex_cHggsLhTT6bLG5d6bCw
四川省建筑设计研究皖SADI,,建筑设计实习生规划设计实习生城市发展实习生BIM咨询实习生前期咨询实习生 项目管理实习生科研助理实习生造价实习生财务实习生人力实习生行政实习生培训实习生,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,成都,2027届,2026-06-15,央国企,,2026-06-15,建筑地产/市政工程,2026/6/30,实习,,https://mp.weixin.qq.com/s/vRrHbhb5h7_fFimoSFqsLA,,https://mp.weixin.qq.com/s/vRrHbhb5h7_fFimoSFqsLA
航天信息,,技术岗管理岗,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2026届,2026-03-27,央国企,,2026-03-27,高端装备与国防科技/航空航天,招满为止,春招,,https://mp.weixin.qq.com/s/hbDq2RvEb7fBMxK1feZR6A,,https://mp.weixin.qq.com/s/hbDq2RvEb7fBMxK1feZR6A
上海电气电站工程公司,,"电气控制工程师,热能与动力工程师,土建工程师（电气工程及其自动化、控制、热能与动力工程、土木工程）","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海,2027届,2026-06-17,央国企,,2026-06-17,国企,招满为止,实习,,https://mp.weixin.qq.com/s/HFYmxhzapZOKWwyLZzLkgg,,https://mp.weixin.qq.com/s/HFYmxhzapZOKWwyLZzLkgg
特来电,,储备总经理计算机类电气/电力电子/电子信息类电信类类意类营经理) 售前类(售前支持)工程类(安装项目经理) 运行/运维类(运行经理）,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,青岛 | 济南 | 南京 | 西安 | 唐山 | 成都 | 全国 | 其它,2026届,2026-03-28,民企,,2026-03-28,能源/电力,招满为止,春招,,https://mp.weixin.qq.com/s/7T3nXpkBVwmPxskDYLbs3w,,https://hr.teld.cn/recruit?sessionid=#/index
臻驱科技,,LEDP-ETR卓越工程师,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 杭州 | 平湖柳州,2027届,2026-05-02,民企,,2026-05-02,电子/半导体,招满为止,实习,,https://mp.weixin.qq.com/s/uv6as1IWvtgLFSFVTrINOw,,https://leadrive.jobs.feishu.cn/391532/?spread=AMJWGFQ
上汽大通,,研发&营销类岗位制造类岗位:,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 无锡 | &南京,2027届,2026-05-15,央国企,,2026-05-15,车企/汽车零部件,招满为止,实习,,https://mp.weixin.qq.com/s/fTmSFfYvHJh29Qti1_dc6w,,https://saicmaxus.zhiye.com/Intern
Z Partners,,长期实习生（理工、经济、社科、专业不限）,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2027届,2026-05-19,民企,,2026-05-19,专业服务,招满为止,实习,,https://mp.weixin.qq.com/s/DLoq22qoRYvjvvDiiRG-FQ,,https://mp.weixin.qq.com/s/DLoq22qoRYvjvvDiiRG-FQ
江西省天然气集团,,"党建事务岗,经营管理与考核岗","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,南昌,2024届 | 2025届 | 2026届,2026-06-09,央国企,,2026-06-08,国企,2026/6/15,春招,,https://mp.weixin.qq.com/s/MbAwuGOrelrwmoNJsCSwQA?scene=1,,https://hr.jxic.com/RedseaPlatform/zhaopin/zpChannelQrCode/043b40d1-0eec-4831-ab69-53031c25a8ba/officeWebsite.mob
远见科技,,技术专员销售助理水稻生测员接待讲解员生产储备干部,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,郑州 | 开封,2026届,2026-03-25,民企,,2026-03-25,农林/畜牧,招满为止,春招,,https://mp.weixin.qq.com/s/otfHgB7pfIFs_fkzIIBlRA?scene=1,,https://mp.weixin.qq.com/s/otfHgB7pfIFs_fkzIIBlRA?scene=1
国家先进印染技术创新中心,,研发类生产技术岗生产管理岗职能管理岗;,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,山东 | 泰安,2026届,2026-03-25,民企,,2026-03-25,服装/纺织,招满为止,春招,,https://mp.weixin.qq.com/s/NsoKiJDxLlUazZdaSmIU3w?scene=1&click_id=42,,https://mp.weixin.qq.com/s/NsoKiJDxLlUazZdaSmIU3w?scene=1&click_id=42
西南油气田公司,,油气田地质勘探、油气田工程技术、海外业务定向储备岗（相关专业：地质资源与地质工程、地质工程、资源勘查工程、矿产普查与勘探、地质学、地球化学、矿物学、岩石学、矿床学、构造地质学、勘查技术与工程、地球探测......,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,重庆 | 海外 | 成都,2026届,2026-04-27,央国企,,2026-04-27,国企,2026/5/15,春招,,https://mp.weixin.qq.com/s/jBS-9pZ5vSpKwthxjjhNAw,,https://zhaopin.cnpc.com.cn/
新大陆支付技术-岗位扩容,,AI应用开发工程师Java开发工程师Android开发工程师 软件测试工程师中试工程师海外计划专员海外财务专员,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,福州,2026届,2026-04-27,民企,,2026-04-27,互联网/人工智能,招满为止,春招,,https://mp.weixin.qq.com/s/7hB3USXoRPsHuiGbDtfWXA,,https://newlandpayment.zhiye.com/campus/jobs
新东方国际教育,,雅思托福教师 国际青少教师 国际学科教师国际备考教师(数学)菁英班课教师(英语)DSE教师(英文写作),"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,广州 | 中山 | 珠海 | 海南 | 那惠州 | 顺德,2027届,2026-05-24,民企,,2026-05-24,教育培训/在线教育,招满为止,秋招提前批,,https://mp.weixin.qq.com/s/It9BKxdJwm7qEiVFY0J8fg,,https://zhaopin.xdf.cn/jobs?activityGuid=a43b35a9-bcb4-4138-a078-c2e9e32acfcd
浦发银行,,总行/分行/子公司:科技类营销类运营类岗位,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 成都 | 合肥 | 全国 | 其它,2027届,2026-06-24,银行,,2026-06-23,银行/国有行,2026/7/10,实习,,https://mp.weixin.qq.com/s/zdAQdfyGemernygqRVEz0A,,https://job.spdb.com.cn/internJob
朗迅芯云,,产品工程、设备技术、制程工程、算法研发、软件开发、芯片测试等,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 杭州 | 诸暨,2026届,2026-04-20,民企,,2026-04-20,科技,招满为止,春招,,http://mp.weixin.qq.com/s?__biz=MzkxMTEwOTcwNQ==&mid=2247495253&idx=1&sn=e8d9b4ce6d1269d899e0a9ad041977c1&chksm=c1239573f6541c6563dfc6fece9cac111503aa65a2ce9dc386957db0dbc3c9726dfdacbfe6b3#rd,,https://g.h5gdsvip.com/p/8ay9k5ap
中铝宁夏能源集团(第二批),,机务见习技术员炉务见习技术员电气习技术员员运化技术员法律合规专责会计,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,宁夏 | 银川,2026届,2026-04-23,央国企,,2026-04-23,能源/电力,2026/5/13,春招,,https://mp.weixin.qq.com/s/HhZowEECn9Gm2joX0tfjHQ,,https://www.iguopin.com/company?id=10685389622103482
华硕电脑,,业务类岗位运营类岗位,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 北京 | 重庆 | 广州 | 西安 | 乌鲁木齐,2027届,2026-05-27,中外合资,,2026-05-27,电子/半导体,招满为止,实习,,https://mp.weixin.qq.com/s/FxZvQE_a6zNc4BPCOlv5SA,,https://asus.zhiye.com/Intern
诺亚控股,,ARK NextGen Program,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,香港,2026届 | 2027届,2026-06-24,民企,,2026-06-24,金融,招满为止,春招,,https://mp.weixin.qq.com/s/KLmrx-mrAFuyEq8oRNfy1g?scene=1,,https://app.mokahr.com/recommendation-apply/noah/26538?recommendCode=NTAFBGq#/
宇通集团-补录,,技术类营销类运营类 职能类,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,郑州,2026届,2026-04-28,民企,,2026-04-28,车企/汽车零部件,招满为止,春招补录,,https://mp.weixin.qq.com/s/TERsMFgCVG8EZKmmQRWN1Q,,https://wecruit.hotjob.cn/SU64a37a4dbef57c3af71c2478/pb/index.html#/
源氏木语,,"仓库保管员,叉车员,拣货员","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,青岛,2026届,2026-06-17,民企,,2026-06-17,消费,招满为止,实习,,https://mp.weixin.qq.com/s/hQnOJ1SLzTc2ki-eJRWrzw,,https://mp.weixin.qq.com/s/hQnOJ1SLzTc2ki-eJRWrzw
时代奇瑞(合肥),,过程质量控制(PQC)、设备工程师-电气/视觉/软件,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,合肥,2026届,2026-05-23,民企,,2026-05-23,汽车产业,招满为止,春招,,https://mp.weixin.qq.com/s/Wj9FvTiDPijPtWLfS_h4Tg,,https://app.mokahr.com/campus-recruitment/catlhr/148948?sharePageId=4516335#/jobs/4516335
青岛农商银行,,青岛农商银行总行部门及辖属各分支机构实习岗位,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,青岛,2027届,2026-06-24,银行,,2026-06-23,银行/国有行,2026/7/31,实习,,https://mp.weixin.qq.com/s/N19o-egbnpnRaYRVU-8oLQ,,https://www.qrcb.com.cn/qrcb/rczp/#/socialRecruitment/list3
仪征农商银行,,金融业务类、金融科技类,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,南京 | 镇江 | 扬州,2024届 | 2025届 | 2026届,2026-03-28,银行,,2026-03-28,,2026/4/20,春招,,https://mp.weixin.qq.com/s/h473wDQSf5Qb3-tv-rIrZA?scene=1&click_id=55,,https://campus.51job.com/jsnxzp2026s/p2.html?addrName=0
兴业银行大连分行,,"管理培训生（综合方向）,管理培训生（FinTech方向）,管理培训生（绿色金融方向）,市场营销类,运营支持类","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 天津 | 石家庄 | 太原 | 呼和浩特 | 沈阳 | 大连 | 长春 | 哈尔滨 | 上海 | 南京 | 苏州 | 杭州 | 合肥 | 厦门 | 莆......,2026届,2026-03-29,银行,,2026-03-29,银行/金融,2026/4/30,春招,,https://mp.weixin.qq.com/s/2r7zDI540o64hNIPtl6oeg,,https://job.cib.com.cn/portal/#/recruit/814456498578608128?recruitType=CR
挚文集团,,工程开发类算法类测试类数据类运维类 产品类运营类;,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2027届,2026-05-14,民企,,2026-05-14,互联网/人工智能,招满为止,实习,,https://mp.weixin.qq.com/s/fk-FFlmNe41GjnWVek5uyg,,https://app.mokahr.com/campus-recruitment/immomo/54299?sessionid=&sourceToken=42725e9e0f9c9c5a9ded2e9ce7b17eeb#/jobs/?zhineng[0]=240098
中国大地保险,,精算类产品类销售支持类信息技术类职能类,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 天津 | 成都,2027届,2026-06-18,央国企,,2026-06-18,金融/证券,招满为止,实习,,https://mp.weixin.qq.com/s/eHco92x8EOggs9sUTiPFAw,,https://webapp.zhaopin.com/2025/hd/zgddc1103ZL82493/internship/index.html?mapBoolean=true&orgDepartmentIds=10124973
竹素科技,,电子PE工程师 供应链计划专员 质量工程师 工业工程师 结构PE工程师 行政管培生 人力资源管培生,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,深圳,2026届,2026-04-07,民企,,2026-04-07,科技,招满为止,春招,,https://mp.weixin.qq.com/s/1Df6aVviGoHte1pJ0wQ25w,,https://bambulab.jobs.feishu.cn/campus/?keywords=&category=&location=&project=7544922319472576806&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=
